result,year,genres,views,spotify_name,spotify_artist
Move On Up,1971,"['Funk', 'Soul music']",21954,Move On Up,Curtis Mayfield
Superfly (song),1972,"['Funk', 'Soul music']",8532,Superfly,Curtis Mayfield
Pusherman,0,[],4749,Pusherman,Curtis Mayfield
Parole parole,1972,[],16968,Paroles paroles,Dalida
Starman (song),1972,"['Pop rock', 'Glam rock']",62785,Starman - 1997 Remaster,David Bowie
Ziggy Stardust (song),0,['Glam rock'],32185,Ziggy Stardust - 2012 Remaster,David Bowie
The Man Who Sold the World (album),0,"['Hard rock', 'Glam rock', 'Blues rock', 'Folk rock']",127670,The Man Who Sold The World - 2015 Remastered Version,David Bowie
Rebel Rebel,1974,"['Glam rock', 'Proto-punk']",45436,Rebel Rebel - 2016 Remaster,David Bowie
Five Years (David Bowie song),1972,"['Glam rock', 'Art rock']",17992,Five Years - 2012 Remaster,David Bowie
Changes (David Bowie song),1972,['Art pop'],52414,Changes - 2015 Remaster,David Bowie
Life on Mars (song),1971,"['Glam rock', 'Art rock']",76793,Life on Mars? - 2015 Remaster,David Bowie
Sound and Vision,1977,[],20573,Sound and Vision - 2017 Remaster,David Bowie
Aladdin Sane,0,"['Glam rock', 'Hard rock', 'Art rock']",158000,Aladdin Sane - 2013 Remaster,David Bowie
Young Americans,0,"['Blue-eyed soul', 'Rhythm and blues']",116021,Young Americans - 2016 Remaster,David Bowie
Wild Is the Wind (song),1976,['Blue-eyed soul'],35098,Wild Is the Wind - 2016 Remaster,David Bowie
Moonage Daydream,1971,['Art rock'],32687,Moonage Daydream - 2012 Remaster,David Bowie
"""Heroes"" (David Bowie song)",1977,['Art rock'],132222,Heroes - 2017 Remaster,David Bowie
Highway Star (song),1972,"['Hard rock', 'Heavy metal music']",28058,Highway Star,Deep Purple
Child in Time,1970,"['Art rock', 'Hard rock', 'Heavy metal music', 'Progressive rock']",32555,Child in Time,Deep Purple
Smoke on the Water,1973,"['Hard rock', 'Heavy metal music']",130012,Smoke On The Water - Remastered 2012,Deep Purple
Theme from Mahogany (Do You Know Where You're Going To),1975,"['Pop music', 'Soul music', 'Contemporary R&B']",24971,Theme From Mahogany (Do You Know Where You're Going To) - Single Version,Diana Ross
Sultans of Swing,1978,['Pub rock (United Kingdom)'],113733,Sultans Of Swing,Dire Straits
Jolene (song),1973,"['Country music', 'Bluegrass music']",198536,Jolene,Dolly Parton
I Will Always Love You,1974,['Country music'],415414,I Will Always Love You,Dolly Parton
Vincent (Don McLean song),1972,['Folk rock'],5954,Vincent,Don McLean
American Pie (Don McLean album),0,"['Folk music', 'Folk rock']",43928,American Pie,Don McLean
Love to Love You Baby (song),1975,"['Disco', 'Funk']",48062,Love To Love You Baby,Donna Summer
I Feel Love,1977,['Hi-NRG'],67694,I Feel Love,Donna Summer
Hot Stuff (Donna Summer song),1979,"['Disco', 'Rock music']",37062,Hot Stuff,Donna Summer
Bad Girls (Donna Summer album),0,"['Disco', 'Hi-NRG', 'R&B']",34512,Bad Girls,Donna Summer
The Ghetto (Donny Hathaway song),1969,['Soul jazz'],7936,The Ghetto,Donny Hathaway
Listen to the Music,1972,['Rock music'],26576,Listen to the Music,The Doobie Brothers
Long Train Runnin',1973,['Country rock'],26834,Long Train Runnin',The Doobie Brothers
Riders on the Storm,1971,['Psychedelic rock'],83688,Riders on the Storm,The Doors
When You're in Love with a Beautiful Woman,1979,"['Middle of the road (music)', 'Country pop', 'Disco']",19811,When You're In Love With A Beautiful Woman,Dr. Hook
Dschinghis Khan,0,[],79375,Dschinghis Khan,Dschinghis Khan
Hotel California (Eagles album),0,['Rock music'],209498,Hotel California - 2013 Remaster,Eagles
Take It Easy,1972,['Country rock'],103352,Take It Easy - 2013 Remaster,Eagles
None,0,[],0,Desperado (2013 Remaster),Eagles
"September (Earth, Wind & Fire song)",1978,"['Contemporary R&B', 'Disco', 'Funk', 'Soul music']",120408,September,"Earth, Wind & Fire"
"Fantasy (Earth, Wind & Fire song)",1978,"['Rhythm and blues', 'Disco']",16951,Fantasy - Single Version,"Earth, Wind & Fire"
Boogie Wonderland,1979,['Disco'],35723,Boogie Wonderland,Mr. Belt & Wezol
War (The Temptations song),1970,['Psychedelic soul'],57329,War,Edwin Starr
Last Train to London,1979,"['Disco', 'Progressive rock']",14387,Last Train to London,Electric Light Orchestra
Can't Get It Out of My Head,1975,['Soft rock'],14631,Can't Get It out of My Head,Electric Light Orchestra
Don't Bring Me Down,1979,['Pop rock'],84573,Don't Bring Me Down,Electric Light Orchestra
Livin' Thing,1976,[],23573,Livin' Thing,Electric Light Orchestra
Mr. Blue Sky,1978,"['Pop rock', 'Art rock', 'Progressive pop']",157037,Mr. Blue Sky,Electric Light Orchestra
Sunshine After the Rain,1977,[],5600,Sunshine After The Rain,Elkie Brooks
Crocodile Rock,0,"['Rock and roll', 'Glam rock', 'Pop rock']",81006,Crocodile Rock,Elton John
Your Song,1970,"['Traditional pop', 'Soft rock']",231523,Your Song,Elton John
Daniel (Elton John song),1973,['Soft rock'],106540,Daniel,Elton John
Saturday Night's Alright for Fighting,1973,"['Glam rock', 'Hard rock', 'Proto-punk']",57480,Saturday Night’s Alright (For Fighting) - Remastered,Elton John
Tiny Dancer,1972,['Pop music'],189501,Tiny Dancer,Elton John
Sorry Seems to Be the Hardest Word,1976,[],53226,Sorry Seems To Be The Hardest Word,Elton John
Don't Let the Sun Go Down on Me,1974,[],98665,Don't Let The Sun Go Down On Me,Elton John
Goodbye Yellow Brick Road,0,"['Rock music', 'Pop rock', 'Glam rock']",298665,Goodbye Yellow Brick Road - Remastered 2014,Elton John
Rocket Man (song),1972,['Soft rock'],329192,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John
Pinball Wizard,1969,"['Hard rock', 'Power pop']",165158,Pinball Wizard,Elton John
Bennie and the Jets,1974,['Glam rock'],204055,Bennie And The Jets - Remastered 2014,Elton John
Don't Go Breaking My Heart,1976,"['Pop music', 'Soft rock']",137212,Don't Go Breaking My Heart,Elton John
(I Don't Want to Go to) Chelsea,1978,['New wave'],7034,(I Don't Want To Go To) Chelsea,Elvis Costello & The Attractions
Alison (song),1977,"['Pub Rock', 'New wave music']",17640,Alison,Elvis Costello
Oliver's Army,1979,['New wave music'],53759,Oliver's Army,Elvis Costello & The Attractions
Always on My Mind,0,[],199771,Always On My Mind,Elvis Presley
"Lucky Man (Emerson, Lake & Palmer song)",1970,"['Folk rock', 'Progressive rock']",29689,Lucky Man - 2012 Remastered Version,"Emerson, Lake & Palmer"
All by Myself,1975,['Soft rock'],121262,All By Myself - Single Edit,Eric Carmen
Wonderful Tonight,1977,['Soft rock'],62348,Wonderful Tonight,Eric Clapton
Lay Down Sally,1977,"['Roots rock', 'Country rock']",23606,Lay Down Sally,Eric Clapton
None,0,[],0,Let It Grow,Eric Clapton
Cocaine (song),1977,['Blues rock'],62133,Cocaine,Eric Clapton
Bell Bottom Blues (Derek and the Dominos song),1971,['Blues rock'],18888,Bell Bottom Blues - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos
One Way Ticket (Neil Sedaka song),1959,['Pop music'],22157,One Way Ticket,Eruption
The Chain,1977,"['Hard rock', 'Country rock', 'Folk rock']",116591,The Chain - 2004 Remaster,Fleetwood Mac
Rhiannon (song),1976,"['Rock music', 'Soft rock']",70900,Rhiannon,Fleetwood Mac
Dreams (Fleetwood Mac song),1977,['Soft rock'],89088,Dreams - 2004 Remaster,Fleetwood Mac
Go Your Own Way,1976,['Rock music'],103165,Go Your Own Way - 2004 Remaster,Fleetwood Mac
Don't Stop (Fleetwood Mac song),1977,['Rock music'],43888,Don't Stop - 2004 Remaster,Fleetwood Mac
Cold as Ice (Foreigner song),1977,[],24321,Cold as Ice,Foreigner
"December, 1963 (Oh, What a Night)",1975,"['Disco', 'Pop music']",107591,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons
Grease (song),1978,"['Funk rock', 'Disco']",49911,Grease - 2007 Remaster,Frankie Valli
All Right Now,1970,"['Hard rock', 'Blues rock']",70441,All Right Now,Free
None,0,[],0,One Nation Under a Groove (2015 Remaster - Album Version),Funkadelic
Rock and Roll (Gary Glitter song),1972,['Glam rock'],35407,Rock & Roll Part 2,Gary Glitter
Parisienne Walkways,1978,['Blues rock'],14703,Parisienne Walkways,Gary Moore
Cars (song),1979,"['Synth-pop', 'New wave music']",58350,Cars,Gary Numan
"Are ""Friends"" Electric?",1979,"['Synthpop', 'New wave music']",22101,Are 'Friends' Electric?,Gary Numan / Tubeway Army
Follow You Follow Me,1978,['Soft rock'],27186,Follow You Follow Me - Remaster 2007,Genesis
My Sweet Lord,1970,"['Folk rock', 'Gospel music']",152144,My Sweet Lord,George Harrison
All Things Must Pass,0,"['Rock music', 'Folk rock']",186541,All Things Must Pass,George Harrison
Rock Your Baby,1974,"['Disco', 'Memphis soul']",22841,Rock Your Baby,George McCrae
Baker Street (song),1978,"['Jazz rock', 'Pop rock', 'Soft rock']",139429,Baker Street,Gerry Rafferty
The Revolution Will Not Be Televised,1971,"['Funk', 'Spoken word']",78017,The Revolution Will Not Be Televised,Gil Scott-Heron
Clair (song),1972,['Pop music'],20220,Clair,Gilbert O'Sullivan
Alone Again (Naturally),1972,['Soft rock'],67243,Alone Again (Naturally),Gilbert O'Sullivan
I Will Survive,1978,['Disco'],130643,I Will Survive - Single Version,Gloria Gaynor
American Woman,1970,"['Blues rock', 'Hard rock', 'Psychedelic rock']",87929,American Woman,The Guess Who
Aquarius/Let the Sunshine In,1969,"['Psychedelic soul', 'Sunshine pop']",97511,The Flesh Failures (Let the Sunshine In),Galt MacDermot
Good Morning Starshine (Strawberry Alarm Clock album),0,"['Blues rock', 'Psychedelic pop', 'Psychedelic rock']",3579,Good Morning Starshine,Galt MacDermot
Aquarius/Let the Sunshine In,1969,"['Psychedelic soul', 'Sunshine pop']",97511,Aquarius,Galt MacDermot
Wake Up Everybody (song),1975,"['Contemporary R&B', 'Soul music']",12560,Wake up Everybody,Harold Melvin & The Blue Notes
Without You (Badfinger song),1970,[],179075,Without You,Harry Nilsson
Barracuda (song),1977,"['Rock music', 'Hard rock', 'Heavy metal music']",71598,Barracuda,Heart
Boogie Nights (song),1977,['Disco'],15090,Boogie Nights,Heatwave
The Air That I Breathe,1972,[],57692,The Air That I Breathe - 2008 Remaster,The Hollies
Popcorn (instrumental),1969,['Synth-pop'],66723,Popcorn,Hot Butter
You Sexy Thing,1975,"['Funk', 'Disco', 'Soul music']",48897,You Sexy Thing,Hot Chocolate
Hit Me with Your Rhythm Stick,1978,"['Rock music', 'Post-punk', 'Disco']",23197,Hit Me With Your Rhythm Stick,Ian Dury
The Passenger (song),1977,[],50212,The Passenger,Iggy Pop
Lust for Life (Iggy Pop album),0,"['Hard rock', 'Punk rock']",61076,Lust For Life,Iggy Pop
Walk On By (song),1964,[],42530,Walk On By,Isaac Hayes
Theme from Shaft,1971,"['Soul music', 'Funk']",32726,"Theme From ""Shaft""",Isaac Hayes
Never Can Say Goodbye,1971,['Soul music'],41656,Never Can Say Goodbye,The Jackson 5
ABC (The Jackson 5 song),1970,"['Soul music', 'R&B', 'Bubblegum pop', 'Disco']",42740,ABC,The Jackson 5
Blame It on the Boogie,1978,['Disco'],42610,Blame It on the Boogie,The Jacksons
I'll Be There (The Jackson 5 song),1970,['Soul music'],69248,I'll Be There,The Jackson 5
None,0,[],0,The Boss,James Brown
Get Up (I Feel Like Being a) Sex Machine,1970,['Funk'],27405,Get Up I Feel Like Being Like A Sex Machine - Pts. 1 & 2,James Brown
You've Got a Friend,1971,['Soft rock'],89436,You've Got a Friend,James Taylor
Fire and Rain (song),1970,"['Soft rock', 'Folk rock']",68997,Fire and Rain,James Taylor
At Seventeen,1975,['Soft rock'],40156,At Seventeen - Remastered,Janis Ian
Me and Bobby McGee,1969,['Country music'],132119,Me and Bobby McGee,Janis Joplin
Cry Baby (Garnet Mimms song),1963,['Soul blues'],12216,Cry Baby,Janis Joplin
None,0,[],0,Coupable,Jean-François Michaël
None,0,[],0,"Oxygene, Pt. 4",Jean-Michel Jarre
Porque te vas,1974,"['Pop music', 'Canción melódica']",22123,Porqué Te Vas?,Jeanette
Aqualung (Jethro Tull album),0,"['Progressive rock', 'Folk rock', 'Hard rock']",106882,Aqualung,Jethro Tull
Angel (Jimi Hendrix song),1971,['Rock music'],12320,Angel,Jimi Hendrix
Many Rivers to Cross,1969,['Reggae'],22349,Many Rivers To Cross,Jimmy Cliff
You Are So Beautiful,1974,"['Pop music', 'Soul music']",70687,You Are So Beautiful,Joe Cocker
L'Été indien,1975,['Pop music'],5996,L'été indien,Joe Dassin
None,0,[],0,I Keep A Close Watch,John Cale
"Take Me Home, Country Roads",1971,['Country music'],326564,"Take Me Home, Country Roads - Rerecorded",John Denver
Jealous Guy,1985,"['Soft rock', 'Pop music']",50661,Jealous Guy - Remastered 2010,John Lennon
Working Class Hero,1975,['Folk music'],43816,Working Class Hero,John Lennon
Oh My Love,1971,['Rock music'],11439,Oh My Love - Remastered 2010,John Lennon
None,0,[],0,#9 Dream,Sweet Little Band
Imagine (John Lennon song),1971,"['Soft rock', 'Pop music']",247137,Imagine - Remastered,John Lennon
Love (John Lennon song),1970,['Soft rock'],11440,Love - Remastered 2010,John Lennon
Instant Karma!,1970,['Rock music'],47687,Instant Karma! (We All Shine On),John Lennon
Stand by Me (Ben E. King song),1961,"['Rhythm and blues', 'Soul music']",167859,Stand By Me - Remastered,John Lennon
Happy Xmas (War Is Over),1971,"['Rock music', 'Christmas music']",45583,Happy Xmas (War Is Over) - Remastered,John Lennon
Love Is in the Air (song),1977,['Disco music'],38817,Love Is In The Air,John Paul Young
I Can See Clearly Now,1972,['Reggae'],101368,I Can See Clearly Now - Edit,Johnny Nash
Blue (Joni Mitchell album),0,"['Folk rock', 'Pop music']",102096,Blue,Joni Mitchell
Help Me (Joni Mitchell song),1974,"['Folk jazz', 'Soft rock']",15419,Help Me,Joni Mitchell
Big Yellow Taxi,1970,"['Folk rock', 'Pop music', 'Folk music']",122704,Big Yellow Taxi,Joni Mitchell
Transmission (song),1979,['Post-punk'],21612,Transmission,Joy Division
Forever Autumn (song),1978,[],13938,Forever Autumn,Justin Hayward
That's the Way (I Like It),1975,"['Disco', 'Funk']",34151,That's the Way (I Like It),KC & The Sunshine Band
Carry On Wayward Son,1976,"['Progressive rock', 'Hard rock']",74280,Carry On Wayward Son,Kansas
Dust in the Wind,1978,['Soft rock'],74141,Dust in the Wind,Kansas
Wuthering Heights (song),1978,"['Art pop', 'Art rock']",80120,Wuthering Heights,Kate Bush
